Designator,Mid X,Mid Y,Rotation,Layer
BB1,29.947,66.446,0.0,top
BZ1,29.94,57.6,180.0,top
BZ2,29.933,57.619,270.0,top
C1,41.09,43.4,180.0,top
C2,41.19,46.5,180.0,top
C3,41.297,62.581,270.0,top
C4,36.69,76.65,270.0,top
C5,36.69,71.4,90.0,top
C6,41.297,58.981,90.0,top
D1,47.497,67.581,270.0,top
D2,47.397,34.981,270.0,top
D3,12.597,35.081,270.0,top
D4,12.397,67.581,270.0,top
D5,47.5025,45.4,0.0,top
D6,47.54,41.53,90.0,top
D7,12.64,41.53,90.0,top
D8,12.7775,45.4,180.0,top
J1,48.235,59.57,90.0,top
J10,24.097,71.481,0.0,top
J11,24.097,74.926,180.0,top
J2,37.997,34.996,180.0,top
J3,41.722,34.996,180.0,top
J4,18.272,34.996,180.0,top
J5,22.097,34.996,180.0,top
J6,29.949652,28.231,90.0,top
J7,11.545,59.57,270.0,top
J8,48.292,52.33,90.0,top
J9,11.602,52.33,270.0,top
R1,47.5275,47.5,0.0,top
R10,23.74,66.5625,270.0,top
R11,36.19,66.5625,270.0,top
R2,17.7275,70.6,180.0,top
R3,12.74,47.5,180.0,top
R4,27.1275,31.3,0.0,top
R5,33.3275,31.3,0.0,top
R6,41.2275,49.3,180.0,top
R7,41.2275,52.1,0.0,top
R8,41.2525,56.1,180.0,top
R9,41.2525,54.1,180.0,top
SW1,14.522,75.181,180.0,top
U1,30.24,36.975,270.0,top
U2,44.197,74.331,180.0,top
U3,29.947,54.741,0.0,top
U4,31.997,74.081,90.0,top
